"Date","Amt","NAV"
" 09-Sep-2021",300,37.6909
" 13-Sep-2021",4800,37.6443
" 13-Sep-2021",900,37.6443
" 04-Oct-2021",4200,38.3223
" 09-Oct-2021","(49.07)",38.6052
" 11-Nov-2021",5197.54,38.8553
" 15-Nov-2021",300,39.3265
" 08-Jan-2022","(22.95)",38.7747
" 17-Jan-2022",5286.04,39.7691
" 22-Mar-2022",5803.03,37.3748
" 09-Apr-2022","(20.12)",38.2312
" 20-Apr-2022",5803.03,37.2631
" 13-Jun-2022",5822.83,34.3511
" 09-Jul-2022","(19.71)",35.3381
" 18-Jul-2022",5822.83,35.7784
" 19-Aug-2022",5815.75,38.8877
" 01-Sep-2022",600,38.5533
" 13-Mar-2023",6678.18,37.9532
" 06-Apr-2023","(19.98)",38.8729
" 11-Apr-2023",6678.18,39.1132
" 08-May-2023",4158.18,40.5225
" 12-Jun-2023",4158.18,41.6155
